"","intercept","slope","seint","seslope","scrubbedn","simulation","mean_p.vars","mean_p.n","mean_p.mean","mean_p.sd","mean_p.median","mean_p.trimmed","mean_p.mad","mean_p.min","mean_p.max","mean_p.range","mean_p.skew","mean_p.kurtosis","mean_p.se"
"X1761",0.10121173894689,-2.61092008364701,0.0364415801574565,0.0625649496184145,100,"Simulation 3",1,100,0.538439,0.195165814450951,0.5396,0.5363225,0.21623721,0.0485,0.951,0.9025,0.0475893715421817,-0.623219446948622,0.0195165814450951
"X1762",0.00299742940143308,-2.58644434171333,0.0386018768938012,0.0673570556690196,100,"Simulation 3",1,100,0.526422,0.196727288335293,0.53435,0.53685875,0.19970622,0.0355,0.8742,0.8387,-0.409638192514967,-0.439426511282587,0.0196727288335293
"X1763",-0.0383087022892758,-2.46519612217583,0.0545149555177992,0.0866253555382867,100,"Simulation 3",1,100,0.493635,0.199239107340751,0.4826,0.49632375,0.18858672,0.0091,0.9757,0.9666,-0.0159396681706506,-0.193318023936709,0.0199239107340751
"X1764",-0.021884524943822,-2.43098869328643,0.0396939405211264,0.0656735207427541,100,"Simulation 3",1,100,0.515016,0.199661526073351,0.51905,0.51823,0.20445054,0.021,0.8979,0.8769,-0.16037530915628,-0.45746244246557,0.0199661526073351
"X1765",0.0167568946682022,-2.23602176393722,0.0486612194462107,0.0768217361853748,100,"Simulation 3",1,100,0.514516,0.197743700927654,0.5096,0.52007625,0.15893472,0.0091,0.9846,0.9755,-0.21038033191708,0.0682118529291542,0.0197743700927654
"X1766",-0.0371014937068145,-2.519923461796,0.0367712544645775,0.0616244846575238,100,"Simulation 3",1,100,0.467977,0.199832136046657,0.45305,0.46221625,0.20860182,0.0986,0.9899,0.8913,0.259044021303153,-0.636357286799488,0.0199832136046657
"X1767",-0.0590250829982829,-2.40217386226337,0.0416656480807225,0.06952470986435,100,"Simulation 3",1,100,0.484738,0.196772588209606,0.4654,0.48441,0.20185599,0.0158,0.9316,0.9158,0.0196351555352124,-0.374762770589603,0.0196772588209606
"X1768",0.0567222219134336,-2.47954222920027,0.0402064263799554,0.062196014897572,100,"Simulation 3",1,100,0.524369,0.214803024965533,0.5543,0.52767375,0.22920996,0.028,0.9694,0.9414,-0.158740087571574,-0.756829595844607,0.0214803024965533
"X1769",0.040804275011165,-2.30856842522735,0.0494331653638624,0.0773754402890117,100,"Simulation 3",1,100,0.479725,0.201269083855821,0.50185,0.47776,0.1860663,0.0159,0.9911,0.9752,0.0281953338461772,-0.234436294797748,0.0201269083855821
"X1770",0.0277871230719934,-2.3125546496912,0.0462486860558148,0.0705199148760707,100,"Simulation 3",1,100,0.537469,0.205692406765564,0.5429,0.5403175,0.21512526,0.0183,0.9833,0.965,-0.14609438776044,-0.318253274016171,0.0205692406765564
